                     timestamp      open      high       low     close       volume  Bollinger_High  Bollinger_Med  Bollinger_Low      SMA200        RSI     Regime  Buy_Signal  Sell_Signal  Buy_Signal_Bollinger  Buy_Signal_Regime  Sell_Signal_Bollinger  Sell_Signal_Regime
2127 2023-05-10 14:00:00+00:00  172.9850  173.7100  172.2900  172.5550    8420565.0      173.202054     172.111100     171.020146  149.418365  54.406326    Uptrend       False        False                 False               True                  False               False
2128 2023-05-10 15:00:00+00:00  172.5600  173.8300  172.5500  173.4900    5421408.0      173.368965     172.149100     170.929235  149.433345  54.995100    Uptrend       False        False                 False               True                   True               False
2129 2023-05-10 16:00:00+00:00  173.4866  173.4866  172.7300  172.8100    4433218.0      173.404118     172.162100     170.920082  149.448375  54.480864    Uptrend       False        False                 False               True                  False               False
2130 2023-05-10 17:00:00+00:00  172.8000  172.9499  171.9000  172.2800    4656461.0      173.348881     172.137350     170.925819  149.463555  54.084717    Uptrend       False        False                 False               True                  False               False
2131 2023-05-10 18:00:00+00:00  172.2750  173.1600  172.2600  173.0650    4844877.0      173.433064     172.164850     170.896636  149.480250  54.576377    Uptrend       False        False                 False               True                  False               False
2132 2023-05-10 19:00:00+00:00  173.0700  173.9100  172.9450  173.5504    8672775.0      173.644027     172.249620     170.855213  149.496498  54.876650    Uptrend       False        False                 False               True                  False               False
2133 2023-05-10 20:00:00+00:00  173.5500  173.6300  173.3100  173.3800    8658928.0      173.778970     172.300170     170.821370  149.513443  54.748960    Uptrend       False        False                 False               True                  False               False
2134 2023-05-10 21:00:00+00:00  173.3900  173.4400  173.3800  173.4200      14795.0      173.919522     172.366920     170.814318  149.529832  54.773787    Uptrend       False        False                 False               True                  False               False
2135 2023-05-10 22:00:00+00:00  173.4200  173.5500  173.3200  173.4600      28574.0      174.052760     172.436320     170.819880  149.546797  54.798712    Uptrend       False        False                 False               True                  False               False
2136 2023-05-10 23:00:00+00:00  173.4600  173.6500  173.4000  173.6500      25752.0      174.199059     172.529820     170.860581  149.563502  54.917321    Uptrend       False        False                 False               True                  False               False
2137 2023-05-11 08:00:00+00:00  173.4200  173.9900  173.4200  173.6800      12060.0      174.326929     172.626320     170.925711  149.580902  54.936085    Uptrend       False        False                 False               True                  False               False
2138 2023-05-11 09:00:00+00:00  173.7400  173.9000  173.7000  173.7800      11590.0      174.446645     172.729820     171.012995  149.598232  54.998834    Uptrend       False        False                 False               True                  False               False
2139 2023-05-11 10:00:00+00:00  173.7600  173.8000  173.5800  173.5800       6032.0      174.521402     172.816320     171.111238  149.616067  54.845328    Uptrend       False        False                 False               True                  False               False
2140 2023-05-11 11:00:00+00:00  173.6500  173.7500  173.3700  173.4800      76536.0      174.572038     172.893320     171.214602  149.633847  54.768512    Uptrend       False        False                 False               True                  False               False
2141 2023-05-11 12:00:00+00:00  173.7486  174.0300  173.4200  173.6899     227136.0      174.546776     173.015315     171.483854  149.651827  54.901760    Uptrend       False        False                 False               True                  False               False
2142 2023-05-11 13:00:00+00:00  173.7100  173.9900  172.1800  172.2700    8015518.0      174.412002     173.067315     171.722628  149.668462  53.823768    Uptrend       False        False                 False               True                  False               False
2143 2023-05-11 14:00:00+00:00  172.2800  173.2550  172.1700  173.2300    6991024.0      174.267826     173.158315     172.048804  149.685342  54.431738    Uptrend       False        False                 False               True                  False               False
2144 2023-05-11 15:00:00+00:00  173.2300  173.8800  173.1601  173.5900    6394833.0      174.151274     173.252815     172.354356  149.702202  54.656739    Uptrend       False        False                 False               True                  False               False
2145 2023-05-11 16:00:00+00:00  173.5900  174.0250  173.3500  173.7600    4584403.0      174.207471     173.285315     172.363159  149.718947  54.762748    Uptrend       False        False                 False               True                  False               False
2146 2023-05-11 17:00:00+00:00  173.7600  173.9400  173.0600  173.6699    4454623.0      174.245446     173.319510     172.393574  149.734947  54.694635    Uptrend       False        False                 False               True                  False               False
2147 2023-05-11 18:00:00+00:00  173.6700  174.5900  173.5600  174.3700    5352718.0      174.373705     173.410260     172.446815  149.752674  55.130453    Uptrend       False        False                 False               True                  False               False
2148 2023-05-11 19:00:00+00:00  174.3750  174.4000  173.5000  173.8100    6827205.0      174.404978     173.426260     172.447542  149.770484  54.707389    Uptrend       False        False                 False               True                  False               False
